"region","city","street","house","apartment","bot_log"
"Калининградская область","Калининград","Батальная улица","104","10","11:00:17 24-03-2022: Ошибка Дом: 104 не найден
" Действительно нет

"Ярославская область","Ярославль","Красноборская улица","43/18","10","10:56:19 24-03-2022: Ошибка Дом: 43/18 не найден
" Действительно нет, есть просто 43

"Москва","Москва","Базовская улица","17","10","10:18:45 24-03-2022: Ошибка Дом: 17 не найден
" Действительно нет

"Костромская область","Кострома","микрорайон Венеция","52","10","11:27:14 24-03-2022: Ошибка Улица: микрорайон Венеция не найдена.
" Решено - добавлено распознавание микрорайон

"Москва","Москва","Лодочная улица","31с5","79","11:20:49 24-03-2022: Ошибка не распознан номер дома: ""31с5""
" Решено - добавлено распознавание строений










"Саратовская область","Энгельс","проспект Химиков","3/1","10","11:13:24 24-03-2022: Ошибка В таблице домов нет элементов
"
"Чеченская Республика","село Комсомольское","Олимпийская улица","48","10","11:02:31 24-03-2022: Ошибка Населенный пункт село Комсомольское не найден
"
"Ростовская область","хутор Старая Станица","Заветы Ильича","53","10","11:01:41 24-03-2022: Ошибка Населенный пункт хутор Старая Станица не найден
"
"Краснодарский край","Краснодар","микрорайон Юбилейный, проспект Чекистов","24/1","10","10:52:33 24-03-2022: Ошибка В таблице домов нет элементов
"
